instruction,output
Create a Cypher statement to answer the following question:Who directed The Matrix?,MATCH (m:Movie {title: 'The Matrix'})<-[:DIRECTED]-(d:Person) RETURN {director: d.name} AS result
Create a Cypher statement to answer the following question:What is the IMDb rating of Pulp Fiction?,MATCH (m:Movie {title: 'Pulp Fiction'}) RETURN {rating: m.imdbRating} AS result
Create a Cypher statement to answer the following question:List all movies released in 1999,MATCH (m:Movie {year: 1999}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which actors starred in The Shawshank Redemption?,"MATCH (m:Movie {title: 'The Shawshank Redemption'})<-[r:ACTED_IN]-(a:Person) RETURN {actor: a.name, role: r.role} AS result"
Create a Cypher statement to answer the following question:Find all movies in the Action genre,MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Who wrote the screenplay for Fight Club?,MATCH (m:Movie {title: 'Fight Club'})<-[:WROTE]-(w:Person) RETURN {writer: w.name} AS result
Create a Cypher statement to answer the following question:List all movies produced by Steven Spielberg,MATCH (p:Person {name: 'Steven Spielberg'})-[:PRODUCED]->(m:Movie) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which movies did Keanu Reeves act in?,"MATCH (a:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie) RETURN {movie: m.title, role: r.role} AS result"
Create a Cypher statement to answer the following question:What is the runtime of Schindler's List?,"MATCH (m:Movie {title: ""Schindler's List""}) RETURN {runtime: m.runtime} AS result"
Create a Cypher statement to answer the following question:List all movies with a rating above 8,"MATCH (m:Movie) WHERE m.imdbRating > 8 RETURN {movie: m.title, rating: m.imdbRating} AS result"
Create a Cypher statement to answer the following question:Who directed The Matrix?,MATCH (m:Movie {title:'The Matrix'})<-[:DIRECTED]-(d:Person) RETURN {director: d.name} AS result
Create a Cypher statement to answer the following question:What is the IMDb rating of Fight Club?,MATCH (m:Movie {title: 'Fight Club'}) RETURN {rating: m.imdbRating} AS result
Create a Cypher statement to answer the following question:What are the genres of Inception?,MATCH (m:Movie {title:'Inception'})-[:IN_GENRE]->(g:Genre) RETURN {genre: g.name} AS result
Create a Cypher statement to answer the following question:Who acted in The Godfather?,"MATCH (m:Movie {title:'The Godfather'})<-[r:ACTED_IN]-(a:Person) RETURN {actor: a.name, role: r.role} AS result"
Create a Cypher statement to answer the following question:List movies released in 1994,MATCH (m:Movie {year: 1994}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:List all movies directed by Quentin Tarantino,MATCH (d:Person {name: 'Quentin Tarantino'})-[:DIRECTED]->(m:Movie) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which actors starred in Pulp Fiction?,"MATCH (m:Movie {title:'Pulp Fiction'})<-[r:ACTED_IN]-(a:Person) RETURN {actor: a.name, role: r.role} AS result"
